"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.40769,0.18038,0,0.019875,-0.002042,0,-0.002042,-0.0059226,0,0,0,0,198.88,-15.708,0,-15.708,0.43752,0,0,0,45.996,2.759,-0.56679,0
-0.40586,0.18314,0,0.018495,-0.001875,0,-0.001875,-0.0053902,0,0,0,0,185.47,-14.423,0,-14.423,1.7392,0,0,0,43.202,2.8435,-0.57603,0
-0.40404,0.18574,0,0.020138,-0.0019909,0,-0.0019909,-0.0059707,0,0,0,0,201.61,-15.314,0,-15.314,0.77622,0,0,0,46.705,2.9276,-0.58503,0
-0.40223,0.1882,0,0.02019,-0.0019851,0,-0.0019851,-0.0059686,0,0,0,0,202.19,-15.27,0,-15.27,0.97006,0,0,0,46.883,3.0115,-0.59381,0
-0.40043,0.19053,0,0.020324,-0.0019873,0,-0.0019873,-0.0060071,0,0,0,0,203.54,-15.287,0,-15.287,0.98962,0,0,0,47.198,3.0951,-0.60237,0
-0.39864,0.19274,0,0.02036,-0.0019783,0,-0.0019783,-0.0060235,0,0,0,0,203.88,-15.217,0,-15.217,0.92861,0,0,0,47.263,3.1784,-0.61071,0
-0.39686,0.19482,0,0.020406,-0.0019549,0,-0.0019549,-0.0060415,0,0,0,0,204.33,-15.038,0,-15.038,0.88283,0,0,0,47.356,3.2614,-0.61885,0
-0.39509,0.19679,0,0.02046,-0.001938,0,-0.001938,-0.0060593,0,0,0,0,204.86,-14.908,0,-14.908,0.86508,0,0,0,47.475,3.3442,-0.6268,0
-0.39333,0.19865,0,0.020507,-0.0019356,0,-0.0019356,-0.0060773,0,0,0,0,205.32,-14.89,0,-14.89,0.82284,0,0,0,47.572,3.4266,-0.63455,0
-0.39157,0.2004,0,0.020502,-0.0018952,0,-0.0018952,-0.0060812,0,0,0,0,205.25,-14.578,0,-14.578,0.7638,0,0,0,47.542,3.5088,-0.64211,0
-0.38983,0.20206,0,0.019692,-0.001793,0,-0.001793,-0.0057956,0,0,0,0,197.28,-13.792,0,-13.792,1.2289,0,0,0,45.811,3.5907,-0.64949,0
-0.38809,0.20363,0,0.019692,-0.001793,0,-0.001793,-0.0057956,0,0,0,0,197.28,-13.792,0,-13.792,1.2289,0,0,0,45.811,3.6723,-0.6567,0
-0.38637,0.20511,0,0.020702,-0.0018189,0,-0.0018189,-0.0061486,0,0,0,0,207.23,-13.992,0,-13.992,0.68122,0,0,0,47.978,3.7537,-0.66374,0
-0.38464,0.2065,0,0.020771,-0.0018151,0,-0.0018151,-0.0061604,0,0,0,0,207.94,-13.962,0,-13.962,0.77846,0,0,0,48.166,3.8348,-0.67061,0
-0.38293,0.20782,0,0.020827,-0.0018045,0,-0.0018045,-0.0061738,0,0,0,0,208.51,-13.881,0,-13.881,0.81597,0,0,0,48.307,3.9156,-0.67732,0
-0.38122,0.20906,0,0.020841,-0.0017858,0,-0.0017858,-0.0061784,0,0,0,0,208.66,-13.737,0,-13.737,0.81347,0,0,0,48.34,3.9962,-0.68387,0
-0.37951,0.21023,0,0.0209,-0.0017632,0,-0.0017632,-0.0062007,0,0,0,0,209.23,-13.563,0,-13.563,0.76089,0,0,0,48.458,4.0765,-0.69027,0
-0.37782,0.21134,0,0.020914,-0.0017745,0,-0.0017745,-0.0062191,0,0,0,0,209.32,-13.65,0,-13.65,0.60364,0,0,0,48.443,4.1565,-0.69652,0
-0.37613,0.21237,0,0.020309,-0.0016652,0,-0.0016652,-0.0060209,0,0,0,0,203.33,-12.809,0,-12.809,0.78948,0,0,0,47.104,4.2363,-0.70263,0
-0.37444,0.21336,0,0.020309,-0.0016652,0,-0.0016652,-0.0060209,0,0,0,0,203.33,-12.809,0,-12.809,0.78948,0,0,0,47.104,4.3158,-0.70859,0
-0.37276,0.21428,0,0.02044,-0.0016175,0,-0.0016175,-0.00607,0,0,0,0,204.6,-12.442,0,-12.442,0.68095,0,0,0,47.373,4.3951,-0.71442,0
